Category Display Name,Attribute Display Name,Category Name,Attribute Name,Data Type,Input/Output,Description
BGldg,Analysis Identifier,BGlgd,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
BGldg,As of Date,BGlgd,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
BGldg,Asset Class,BGlgd,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
BGldg,LGD,BGlgd,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
BGldg,Scenario,BGlgd,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
BGldg,Term,BGlgd,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
LGD Model Grace,Analysis Identifier,LGDModelGrace,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
LGD Model Grace,As of Date,LGDModelGrace,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
LGD Model Grace,Asset Class,LGDModelGrace,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
LGD Model Grace,LGD,LGDModelGrace,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
LGD Model Grace,Scenario,LGDModelGrace,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
LGD Model Grace,Term,LGDModelGrace,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
