tenantIdentifier,macroeconomicVariableName,macroeconomicVariableDescription,macroeconomicVariableType,macroeconomicVariableUnits,macroeconomicVariableCurrency,macroeconomicVariableFactor,scenarioStudioMnemonics,databuffetMnemonic
moodys,USA Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_US)),(ANNPCT(FGDP$.IUSA))
moodys,USA Nominal GDP Growth,,,Percentage,,,(ANNPCT(FGDP_US)),(ANNPCT(FGDP.IUSA))
moodys,USA Real Disposable Income Growth,,,Percentage,,,(ANNPCT(FYPDPI$Q_US)),(ANNPCT(FYPDPI$Q.IUSA))
moodys,USA Nominal Income Growth,,,Percentage,,,(ANNPCT(FYPDPIQ_US)),(ANNPCT(FYPDPIQ.IUSA))
moodys,USA Unemployment Rate,,,Percentage,,,FLBR_US,FLBR.IUSA
moodys,USA Unemployment Rate Monthly,,,Percentage,,,,FLBR.IUSA
moodys,USA CPI Inflation Growth,,,Percentage,,,(ANNPCT(FCPIU_US)),(ANNPCT(FCPIU.IUSA))
moodys,US Treasury 3 Month,,Interest Rate,Percentage,,,FRTB3M_US,FRTB3M.IUSA
moodys,US Treasury 10 Year,,Interest Rate,Percentage,,,FRGT10Y_US,FRGT10Y.IUSA
moodys,USA BAA Yield,,,Percentage,,,FRBBBQ_US,FRBBBQ.IUSA
moodys,USA Mortgage Rate Freddie Mac 30 Year,,Interest Rate,Percentage,,,FRFHLMCFM_US,FRFHLMCFM.IUSA
moodys,USA Equity Dow Jones Total Stock Market Index,,,Level,USD,,FDJMIIUSDDWCFTDQ_US,FDJMIIUSDDWCFTDQ.IUSA
moodys,USA CPI Inflation Rate,,,Level,,,FCPIU_US,FCPIU.IUSA
moodys,USA Commercial Real Estate Price Index,,,Level,,,FZFL075035503Q_US,FZFL075035503Q.IUSA
moodys,USA Market Volatility Index,,,Level,,,FCBOEVIXHQ_US,FCBOEVIXHQ.IUSA
moodys,Asia FX,,Exchange Rate,Level,,,FTFXIUSA_IFDAS,FTFXIUSAQ.IFDAS
moodys,Asia Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IFDAS)),(ANNPCT(FGDPD$Q.IFDAS))
moodys,Asia Inflation Growth,,,Percentage,,,(ANNPCT(FCPI_IFDAS)),(ANNPCT(FCPIQ.IFDAS))
moodys,Eurozone Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IEUZN)),(ANNPCT(FGDPL$Q.IEUZN))
moodys,Eurozone FX (EUR/USD),,Exchange Rate,Level,,,FTFXIUSAQ_IEUZN,FTFXIUSAQ.IEUZN
moodys,Eurozone Inflation Growth,,,Percentage,,,(ANNPCT(FCPIH_IEUZN)),(ANNPCT(FHCPIQ.IEUZN))
moodys,Japan FX (USD/JPY),,Exchange Rate,Level,,,FTFXIUSA_IJPN,FTFXIUSAQ.IJPN
moodys,Japan Inflation Growth,,,Percentage,,,(ANNPCT(FCPI_IJPN)),(ANNPCT(FCPIQ.IJPN))
moodys,Japan Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IJPN)),(ANNPCT(FGDPL$Q.IJPN))
moodys,UK Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IGBR)),(ANNPCT(FGDPL$Q.IGBR))
moodys,UK FX (GBP/USD),,Exchange Rate,Level,,,FTFXIUSA_IGBR,FTFXIUSAQ.IGBR
moodys,UK Inflation Growth,,,Percentage,,,(ANNPCT(FCPI_IGBR)),(ANNPCT(FCPIQ.IGBR))
moodys,US Treasury 5 Year,,Interest Rate,Percentage,,,FRGT5Y_US,FRGT5Y.IUSA
moodys,USD Prime Rate,,Interest Rate,Percentage,,,FRPRIME_US,FRPRIME.IUSA
moodys,USA BBB Spread,,,Percentage,,,(FRBBBQ_US-FRGT10Y_US),(FRBBBQ.IUSA-FRGT10Y.IUSA)
moodys,USD Swap Rate 3 Year,,Interest Rate,Percentage,,,FIRSWP3YQ_US,FIRSWP3YQ.IUSA
moodys,USA Average Hourly Earnings,,,Level,USD,,FAHETP_US,FAHETP.IUSA
moodys,USA Consumption,,,Level,USD,1000000000,FC$_US,FC$.IUSA
moodys,USA Consumer Confidence Index,,,Level,,,FCBC_US,FCBC.IUSA
moodys,USA Inflation,,,Level,,,,FCPIQ.IUSA
moodys,USA Equity S&P 500,,,Level,,,FSP500Q_US,FSP500Q.IUSA
moodys,USA Per Capita Income,,,Level,USD,,FYPCPI$Q_US,FYPCPI$Q.IUSA
moodys,USA Real GDP,,,Level,USD,1000000000,FGDP$_US,FGDP$.IUSA
moodys,Oil Price WTI,,,Level,USD,,FCPWTI_US,FCPWTI.IUSA
moodys,USA Nonfarm Employment,,,Level,,1000000,FET_US,FET.IUSA
moodys,USA Number of Households,,,Level,,1000,FHHOLDQ_US,FHHOLDQ.IUSA
moodys,USA House Price Index FHFA,,,Level,,,FHOFHOPIQ_US,FHOFHOPIQ.IUSA
moodys,USA Implicit Price Deflator - GDP,,,Level,,,FPDIGDP_US,FPDIGDP.IUSA
moodys,USA Population,,,Level,,1000000,FPOPQ_US,FPOPQ.IUSA
moodys,USA Baa Corporate Yield,,Interest Rate,Percentage,,,FRBAAC_US,FRBAAC.IUSA
moodys,USD Federal Funds Rate,,Interest Rate,Percentage,,,FRFED_US,FRFED.IUSA
moodys,Commodity Index Proxy by Oil,,,Level,USD,,,FCPWTI.IUSA
moodys,USA Nominal Personal Income,,,Level,USD,1000000000,FYPQ_US,FYPQ.IUSA
moodys,USA CRE Price Index - Apartment,,,Level,,,FCREPAPTI_US,FCRNCPPIAPTUQ.IUSA
moodys,USA Median House Price,,,Level,USD,1000,FHX1MED_US,FHX1MED.IUSA
moodys,USA Housing Affordability Index,,,Level,,,FHXAFF_US,FHXAFF.IUSA
moodys,USA Fixed Investment - Nonresidential,,,Level,USD,1000000000,FIFN$_US,FIFN$.IUSA
moodys,US Treasury 1 Year,,Interest Rate,Percentage,,,FRGT1Y_US,FRGT1Y.IUSA
moodys,US Treasury 6 Month,,Interest Rate,Percentage,,,FRTB6M_US,FRTB6M.IUSA
moodys,USD LIBOR 12 Month,,Interest Rate,Percentage,,,FRILIBOR12M_US,FRILIBOR12M.IUSA
moodys,USD LIBOR 1 Month,,Interest Rate,Percentage,,,FRILIBOR1M_US,FRILIBOR1M.IUSA
moodys,USD LIBOR 3 Month,,Interest Rate,Percentage,,,FRILIBOR3M_US,FRILIBOR3M.IUSA
moodys,USD LIBOR 6 Month,,Interest Rate,Percentage,,,FRILIBOR6M_US,FRILIBOR6M.IUSA
moodys,USA LIBOR 6 Month Spread,,,Percentage,,,(FRILIBOR6M_US-FRTB6M_US),(FRILIBOR6M.IUSA-FRTB6M.IUSA)
moodys,USA Mortgage Rate Freddie Mac 5 Year,,Interest Rate,Percentage,,,FRFHLMCA5Q_US,FRFHLMCA5Q.IUSA
